from,to,intensity.forecast,intensity.actual,intensity.index,datetime
2024-12-31T23:30Z,2025-01-01T00:00Z,53,51,low,31/12/2024 23:30
2025-01-01T00:00Z,2025-01-01T00:30Z,49,55,low,01/01/2025 00:00
2025-01-01T00:30Z,2025-01-01T01:00Z,52,54,low,01/01/2025 00:30
2025-01-01T01:00Z,2025-01-01T01:30Z,56,53,low,01/01/2025 01:00
2025-01-01T01:30Z,2025-01-01T02:00Z,53,53,low,01/01/2025 01:30
2025-01-01T02:00Z,2025-01-01T02:30Z,53,47,low,01/01/2025 02:00
2025-01-01T02:30Z,2025-01-01T03:00Z,52,45,low,01/01/2025 02:30
2025-01-01T03:00Z,2025-01-01T03:30Z,48,44,low,01/01/2025 03:00
2025-01-01T03:30Z,2025-01-01T04:00Z,44,44,low,01/01/2025 03:30
2025-01-01T04:00Z,2025-01-01T04:30Z,44,45,low,01/01/2025 04:00
2025-01-01T04:30Z,2025-01-01T05:00Z,42,45,low,01/01/2025 04:30
2025-01-01T05:00Z,2025-01-01T05:30Z,43,43,low,01/01/2025 05:00
2025-01-01T05:30Z,2025-01-01T06:00Z,47,41,low,01/01/2025 05:30
2025-01-01T06:00Z,2025-01-01T06:30Z,43,41,low,01/01/2025 06:00
2025-01-01T06:30Z,2025-01-01T07:00Z,43,42,low,01/01/2025 06:30
2025-01-01T07:00Z,2025-01-01T07:30Z,44,44,low,01/01/2025 07:00
2025-01-01T07:30Z,2025-01-01T08:00Z,42,44,low,01/01/2025 07:30
2025-01-01T08:00Z,2025-01-01T08:30Z,42,43,low,01/01/2025 08:00
2025-01-01T08:30Z,2025-01-01T09:00Z,41,38,low,01/01/2025 08:30
2025-01-01T09:00Z,2025-01-01T09:30Z,38,36,low,01/01/2025 09:00
2025-01-01T09:30Z,2025-01-01T10:00Z,35,36,low,01/01/2025 09:30
2025-01-01T10:00Z,2025-01-01T10:30Z,23,39,low,01/01/2025 10:00
2025-01-01T10:30Z,2025-01-01T11:00Z,32,35,low,01/01/2025 10:30
2025-01-01T11:00Z,2025-01-01T11:30Z,38,35,low,01/01/2025 11:00
2025-01-01T11:30Z,2025-01-01T12:00Z,35,39,low,01/01/2025 11:30
2025-01-01T12:00Z,2025-01-01T12:30Z,32,41,low,01/01/2025 12:00
2025-01-01T12:30Z,2025-01-01T13:00Z,36,41,low,01/01/2025 12:30
2025-01-01T13:00Z,2025-01-01T13:30Z,41,45,low,01/01/2025 13:00
2025-01-01T13:30Z,2025-01-01T14:00Z,42,44,low,01/01/2025 13:30
2025-01-01T14:00Z,2025-01-01T14:30Z,46,53,low,01/01/2025 14:00
2025-01-01T14:30Z,2025-01-01T15:00Z,47,70,low,01/01/2025 14:30
2025-01-01T15:00Z,2025-01-01T15:30Z,54,78,low,01/01/2025 15:00
2025-01-01T15:30Z,2025-01-01T16:00Z,70,81,low,01/01/2025 15:30
2025-01-01T16:00Z,2025-01-01T16:30Z,81,89,low,01/01/2025 16:00
2025-01-01T16:30Z,2025-01-01T17:00Z,90,93,low,01/01/2025 16:30
2025-01-01T17:00Z,2025-01-01T17:30Z,94,93,low,01/01/2025 17:00
2025-01-01T17:30Z,2025-01-01T18:00Z,98,95,low,01/01/2025 17:30
2025-01-01T18:00Z,2025-01-01T18:30Z,95,94,low,01/01/2025 18:00
2025-01-01T18:30Z,2025-01-01T19:00Z,90,93,low,01/01/2025 18:30
2025-01-01T19:00Z,2025-01-01T19:30Z,93,92,low,01/01/2025 19:00
2025-01-01T19:30Z,2025-01-01T20:00Z,92,93,low,01/01/2025 19:30
2025-01-01T20:00Z,2025-01-01T20:30Z,92,92,low,01/01/2025 20:00
2025-01-01T20:30Z,2025-01-01T21:00Z,83,87,low,01/01/2025 20:30
2025-01-01T21:00Z,2025-01-01T21:30Z,94,83,low,01/01/2025 21:00
2025-01-01T21:30Z,2025-01-01T22:00Z,81,77,low,01/01/2025 21:30
2025-01-01T22:00Z,2025-01-01T22:30Z,82,76,low,01/01/2025 22:00
2025-01-01T22:30Z,2025-01-01T23:00Z,94,65,low,01/01/2025 22:30
2025-01-01T23:00Z,2025-01-01T23:30Z,83,63,low,01/01/2025 23:00
2025-01-01T23:30Z,2025-01-02T00:00Z,77,67,low,01/01/2025 23:30
2025-01-02T00:00Z,2025-01-02T00:30Z,71,71,low,02/01/2025 00:00
2025-01-02T00:30Z,2025-01-02T01:00Z,62,68,low,02/01/2025 00:30
2025-01-02T01:00Z,2025-01-02T01:30Z,71,61,low,02/01/2025 01:00
2025-01-02T01:30Z,2025-01-02T02:00Z,69,56,low,02/01/2025 01:30
2025-01-02T02:00Z,2025-01-02T02:30Z,63,60,low,02/01/2025 02:00
2025-01-02T02:30Z,2025-01-02T03:00Z,57,59,low,02/01/2025 02:30
2025-01-02T03:00Z,2025-01-02T03:30Z,60,57,low,02/01/2025 03:00
2025-01-02T03:30Z,2025-01-02T04:00Z,61,63,low,02/01/2025 03:30
2025-01-02T04:00Z,2025-01-02T04:30Z,57,63,low,02/01/2025 04:00
2025-01-02T04:30Z,2025-01-02T05:00Z,65,67,low,02/01/2025 04:30
2025-01-02T05:00Z,2025-01-02T05:30Z,66,68,low,02/01/2025 05:00
2025-01-02T05:30Z,2025-01-02T06:00Z,73,88,low,02/01/2025 05:30
2025-01-02T06:00Z,2025-01-02T06:30Z,60,109,moderate,02/01/2025 06:00
2025-01-02T06:30Z,2025-01-02T07:00Z,100,134,moderate,02/01/2025 06:30
2025-01-02T07:00Z,2025-01-02T07:30Z,123,140,moderate,02/01/2025 07:00
2025-01-02T07:30Z,2025-01-02T08:00Z,135,139,moderate,02/01/2025 07:30
2025-01-02T08:00Z,2025-01-02T08:30Z,145,148,moderate,02/01/2025 08:00
2025-01-02T08:30Z,2025-01-02T09:00Z,147,147,moderate,02/01/2025 08:30
2025-01-02T09:00Z,2025-01-02T09:30Z,136,140,moderate,02/01/2025 09:00
2025-01-02T09:30Z,2025-01-02T10:00Z,155,139,moderate,02/01/2025 09:30
2025-01-02T10:00Z,2025-01-02T10:30Z,142,135,moderate,02/01/2025 10:00
2025-01-02T10:30Z,2025-01-02T11:00Z,140,132,moderate,02/01/2025 10:30
2025-01-02T11:00Z,2025-01-02T11:30Z,137,128,moderate,02/01/2025 11:00
2025-01-02T11:30Z,2025-01-02T12:00Z,133,120,moderate,02/01/2025 11:30
2025-01-02T12:00Z,2025-01-02T12:30Z,133,123,moderate,02/01/2025 12:00
2025-01-02T12:30Z,2025-01-02T13:00Z,127,130,moderate,02/01/2025 12:30
2025-01-02T13:00Z,2025-01-02T13:30Z,129,131,moderate,02/01/2025 13:00
2025-01-02T13:30Z,2025-01-02T14:00Z,140,139,moderate,02/01/2025 13:30
2025-01-02T14:00Z,2025-01-02T14:30Z,136,141,moderate,02/01/2025 14:00
2025-01-02T14:30Z,2025-01-02T15:00Z,143,147,moderate,02/01/2025 14:30
2025-01-02T15:00Z,2025-01-02T15:30Z,152,152,moderate,02/01/2025 15:00
2025-01-02T15:30Z,2025-01-02T16:00Z,159,155,moderate,02/01/2025 15:30
2025-01-02T16:00Z,2025-01-02T16:30Z,167,160,moderate,02/01/2025 16:00
2025-01-02T16:30Z,2025-01-02T17:00Z,166,160,moderate,02/01/2025 16:30
2025-01-02T17:00Z,2025-01-02T17:30Z,166,154,moderate,02/01/2025 17:00
2025-01-02T17:30Z,2025-01-02T18:00Z,164,152,moderate,02/01/2025 17:30
2025-01-02T18:00Z,2025-01-02T18:30Z,160,151,moderate,02/01/2025 18:00
2025-01-02T18:30Z,2025-01-02T19:00Z,158,150,moderate,02/01/2025 18:30
2025-01-02T19:00Z,2025-01-02T19:30Z,159,145,moderate,02/01/2025 19:00
2025-01-02T19:30Z,2025-01-02T20:00Z,155,136,moderate,02/01/2025 19:30
2025-01-02T20:00Z,2025-01-02T20:30Z,146,129,moderate,02/01/2025 20:00
2025-01-02T20:30Z,2025-01-02T21:00Z,137,114,moderate,02/01/2025 20:30
2025-01-02T21:00Z,2025-01-02T21:30Z,131,105,moderate,02/01/2025 21:00
2025-01-02T21:30Z,2025-01-02T22:00Z,105,92,low,02/01/2025 21:30
2025-01-02T22:00Z,2025-01-02T22:30Z,98,82,low,02/01/2025 22:00
2025-01-02T22:30Z,2025-01-02T23:00Z,87,70,low,02/01/2025 22:30
2025-01-02T23:00Z,2025-01-02T23:30Z,80,61,low,02/01/2025 23:00
2025-01-02T23:30Z,2025-01-03T00:00Z,67,59,low,02/01/2025 23:30
2025-01-03T00:00Z,2025-01-03T00:30Z,63,63,low,03/01/2025 00:00
2025-01-03T00:30Z,2025-01-03T01:00Z,59,55,low,03/01/2025 00:30
2025-01-03T01:00Z,2025-01-03T01:30Z,62,50,low,03/01/2025 01:00
2025-01-03T01:30Z,2025-01-03T02:00Z,56,47,low,03/01/2025 01:30
2025-01-03T02:00Z,2025-01-03T02:30Z,48,45,low,03/01/2025 02:00
2025-01-03T02:30Z,2025-01-03T03:00Z,45,42,low,03/01/2025 02:30
2025-01-03T03:00Z,2025-01-03T03:30Z,44,42,low,03/01/2025 03:00
2025-01-03T03:30Z,2025-01-03T04:00Z,41,45,low,03/01/2025 03:30
2025-01-03T04:00Z,2025-01-03T04:30Z,40,47,low,03/01/2025 04:00
2025-01-03T04:30Z,2025-01-03T05:00Z,44,54,low,03/01/2025 04:30
2025-01-03T05:00Z,2025-01-03T05:30Z,47,62,low,03/01/2025 05:00
2025-01-03T05:30Z,2025-01-03T06:00Z,54,84,low,03/01/2025 05:30
2025-01-03T06:00Z,2025-01-03T06:30Z,66,104,moderate,03/01/2025 06:00
2025-01-03T06:30Z,2025-01-03T07:00Z,96,119,moderate,03/01/2025 06:30
2025-01-03T07:00Z,2025-01-03T07:30Z,125,128,moderate,03/01/2025 07:00
2025-01-03T07:30Z,2025-01-03T08:00Z,130,136,moderate,03/01/2025 07:30
2025-01-03T08:00Z,2025-01-03T08:30Z,136,140,moderate,03/01/2025 08:00
2025-01-03T08:30Z,2025-01-03T09:00Z,143,134,moderate,03/01/2025 08:30
2025-01-03T09:00Z,2025-01-03T09:30Z,147,127,moderate,03/01/2025 09:00
2025-01-03T09:30Z,2025-01-03T10:00Z,139,125,moderate,03/01/2025 09:30
2025-01-03T10:00Z,2025-01-03T10:30Z,132,121,moderate,03/01/2025 10:00
2025-01-03T10:30Z,2025-01-03T11:00Z,129,119,moderate,03/01/2025 10:30
2025-01-03T11:00Z,2025-01-03T11:30Z,128,120,moderate,03/01/2025 11:00
2025-01-03T11:30Z,2025-01-03T12:00Z,125,120,moderate,03/01/2025 11:30
2025-01-03T12:00Z,2025-01-03T12:30Z,125,124,moderate,03/01/2025 12:00
2025-01-03T12:30Z,2025-01-03T13:00Z,128,127,moderate,03/01/2025 12:30
2025-01-03T13:00Z,2025-01-03T13:30Z,134,136,moderate,03/01/2025 13:00
2025-01-03T13:30Z,2025-01-03T14:00Z,136,145,moderate,03/01/2025 13:30
2025-01-03T14:00Z,2025-01-03T14:30Z,145,157,moderate,03/01/2025 14:00
2025-01-03T14:30Z,2025-01-03T15:00Z,159,169,moderate,03/01/2025 14:30
2025-01-03T15:00Z,2025-01-03T15:30Z,169,184,high,03/01/2025 15:00
2025-01-03T15:30Z,2025-01-03T16:00Z,184,194,high,03/01/2025 15:30
2025-01-03T16:00Z,2025-01-03T16:30Z,194,195,high,03/01/2025 16:00
2025-01-03T16:30Z,2025-01-03T17:00Z,209,203,high,03/01/2025 16:30
2025-01-03T17:00Z,2025-01-03T17:30Z,213,206,high,03/01/2025 17:00
