Datetime (UTC),Timeslot,Region,Value
2025-08-27T00:00Z,1, North Scotland,0
2025-08-27T00:30Z,2, North Scotland,0
2025-08-27T01:00Z,3, North Scotland,1
2025-08-27T01:30Z,4, North Scotland,0
2025-08-27T02:00Z,5, North Scotland,0
2025-08-27T02:30Z,6, North Scotland,2
2025-08-27T03:00Z,7, North Scotland,0
2025-08-27T03:30Z,8, North Scotland,0
2025-08-27T04:00Z,9, North Scotland,0
2025-08-27T04:30Z,10, North Scotland,0
2025-08-27T05:00Z,11, North Scotland,0
2025-08-27T05:30Z,12, North Scotland,0
2025-08-27T06:00Z,13, North Scotland,0
2025-08-27T06:30Z,14, North Scotland,0
2025-08-27T07:00Z,15, North Scotland,0
2025-08-27T07:30Z,16, North Scotland,0
2025-08-27T08:00Z,17, North Scotland,0
2025-08-27T08:30Z,18, North Scotland,0
2025-08-27T09:00Z,19, North Scotland,0
2025-08-27T09:30Z,20, North Scotland,0
2025-08-27T10:00Z,21, North Scotland,0
2025-08-27T10:30Z,22, North Scotland,0
2025-08-27T11:00Z,23, North Scotland,0
2025-08-27T11:30Z,24, North Scotland,0
2025-08-27T12:00Z,25, North Scotland,0
2025-08-27T12:30Z,26, North Scotland,0
2025-08-27T13:00Z,27, North Scotland,0
2025-08-27T13:30Z,28, North Scotland,0
2025-08-27T14:00Z,29, North Scotland,0
2025-08-27T14:30Z,30, North Scotland,0
2025-08-27T15:00Z,31, North Scotland,0
2025-08-27T15:30Z,32, North Scotland,0
2025-08-27T16:00Z,33, North Scotland,0
2025-08-27T16:30Z,34, North Scotland,0
2025-08-27T17:00Z,35, North Scotland,0
2025-08-27T17:30Z,36, North Scotland,0
2025-08-27T18:00Z,37, North Scotland,0
2025-08-27T18:30Z,38, North Scotland,0
2025-08-27T19:00Z,39, North Scotland,0
2025-08-27T19:30Z,40, North Scotland,0
2025-08-27T20:00Z,41, North Scotland,0
2025-08-27T20:30Z,42, North Scotland,0
2025-08-27T21:00Z,43, North Scotland,0
2025-08-27T21:30Z,44, North Scotland,0
2025-08-27T22:00Z,45, North Scotland,0
2025-08-27T22:30Z,46, North Scotland,0
2025-08-27T23:00Z,47, North Scotland,0
2025-08-27T23:30Z,48, North Scotland,0
2025-08-28T00:00Z,49, North Scotland,0
2025-08-28T00:30Z,50, North Scotland,0
2025-08-28T01:00Z,51, North Scotland,0
2025-08-28T01:30Z,52, North Scotland,0
2025-08-28T02:00Z,53, North Scotland,0
2025-08-28T02:30Z,54, North Scotland,0
2025-08-28T03:00Z,55, North Scotland,0
2025-08-28T03:30Z,56, North Scotland,0
2025-08-28T04:00Z,57, North Scotland,0
2025-08-28T04:30Z,58, North Scotland,0
2025-08-28T05:00Z,59, North Scotland,0
