Time,SCI
1,1.07
2,0.96
3,0.97
4,0.86
5,0.88
6,0.97
7,0.92
8,0.90
9,0.85
10,0.87
11,1.05
12,1.12
13,1.23
14,1.19
15,1.18
16,1.17
17,1.13
18,1.11
19,1.01
20,0.99
21,0.95
22,0.88
23,0.85
24,0.88
25,0.83
26,0.77
27,0.78
28,0.75
29,0.53
30,0.53
31,0.48
32,0.60
33,0.73
34,0.93
35,1.08
36,1.22
37,1.29
38,1.48
39,1.58
40,1.49
41,1.41
42,1.35
43,1.31
44,1.22
45,1.16
46,1.15
47,1.01
48,1.04
49,1.49
50,1.22
51,1.33
52,1.22
53,1.21
54,1.20
55,1.24
56,1.27
57,1.34
58,1.45
59,1.51
60,1.54
61,1.66
62,1.73
63,1.60
64,1.48
65,1.29
66,1.13
67,1.10
68,1.08
69,0.93
70,0.94
71,0.98
72,1.03
73,0.97
74,0.91
75,1.02
76,1.00
77,0.96
78,1.02
79,0.98
80,1.01
81,0.96
82,0.90
83,0.91
84,0.94
85,0.85
86,0.80
87,0.83
88,0.82
89,0.69
90,0.64
91,0.66
92,0.61
93,0.57
94,0.56
95,0.57
96,0.66
97,0.58
